time_ms,cpu_usage,workers_active
11,10,1
21,10,1
32,45,2
42,45,2
52,80,3
63,80,3
73,90,4
83,90,4
93,100,5
104,100,5
114,100,5
125,100,5
135,100,5
147,100,5
157,100,5
167,100,5
177,100,5
187,100,5
198,100,5
208,100,5
218,100,5
228,100,5
238,100,5
248,100,5
258,100,5
268,100,5
278,100,5
289,100,5
299,100,5
309,100,5
319,100,5
329,100,5
339,100,5
349,100,5
359,100,5
369,100,5
380,100,5
390,100,5
400,100,5
410,100,5
420,100,5
430,100,5
440,100,5
450,100,5
460,100,5
470,100,5
481,100,5
491,100,5
501,100,5
511,100,5
521,100,5
531,100,5
541,100,5
551,100,5
562,100,5
572,100,5
582,100,5
592,100,5
602,100,5
612,100,5
622,100,5
632,100,5
642,100,5
653,100,5
663,100,5
673,100,5
683,100,5
693,100,5
703,100,5
713,100,5
723,100,5
734,100,5
744,100,5
754,100,5
764,100,5
774,100,5
784,100,5
794,100,5
804,100,5
814,100,5
825,100,5
835,100,5
845,100,5
855,100,5
865,100,5
875,100,5
885,100,5
895,100,5
905,100,5
916,100,5
926,100,5
936,100,5
946,100,5
956,100,5
966,100,5
976,100,5
986,100,5
997,100,5
1007,100,5
1018,100,5
1028,100,5
1038,100,5
1049,100,5
1059,100,5
1069,100,5
1079,100,5
1089,100,5
1099,100,5
1109,100,5
1120,100,5
1130,100,5
1140,100,5
1150,100,5
1160,100,5
1170,100,5
1180,100,5
1190,100,5
1200,100,5
1211,100,5
1221,100,5
1231,100,5
1241,100,5
1251,100,5
1261,100,5
1271,100,5
1281,100,5
1291,100,5
1302,100,5
1312,100,5
1322,100,5
1332,100,5
1342,100,5
1352,100,5
1362,100,5
1372,100,5
1383,100,5
1393,100,5
1403,100,5
1413,100,5
1423,100,5
1433,100,5
1444,100,5
1454,100,5
1464,100,5
1474,100,5
1484,100,5
1494,100,5
1504,100,5
1514,100,5
1524,100,5
1535,100,5
1545,100,5
1555,100,5
1565,100,5
1575,100,5
1585,100,5
1595,100,5
1605,100,5
1615,100,5
1626,100,5
1636,100,5
1646,100,5
1656,100,5
1666,100,5
1676,100,5
1686,100,5
1696,100,5
1706,100,5
1716,100,5
1727,100,5
1737,100,5
1747,100,5
1757,100,5
1767,100,5
1777,100,5
1787,100,5
1797,100,5
1807,100,5
1818,100,5
1828,100,5
1838,100,5
1848,100,5
1858,100,5
1868,100,5
